iter	Passed	Remaining
793	1688	438
794	1691	436
795	1694	434
796	1697	432
797	1701	430
798	1704	428
799	1707	426
800	1710	424
801	1713	423
802	1716	421
803	1719	419
804	1722	417
805	1725	415
806	1728	413
807	1732	411
808	1735	409
809	1739	407
810	1742	406
811	1746	404
812	1749	402
813	1752	400
814	1755	398
815	1758	396
816	1761	394
817	1763	392
818	1766	390
819	1769	388
820	1771	386
821	1773	384
822	1775	381
823	1777	379
824	1778	377
825	1780	375
826	1781	372
827	1783	370
828	1784	368
829	1786	365
830	1787	363
831	1788	361
832	1789	358
833	1790	356
834	1792	354
835	1793	351
836	1794	349
837	1795	347
838	1796	344
839	1797	342
840	1798	340
841	1799	337
842	1800	335
843	1802	333
844	1803	330
845	1805	328
846	1806	326
847	1807	323
848	1808	321
849	1809	319
850	1810	317
851	1812	314
852	1813	312
853	1814	310
854	1815	307
855	1817	305
856	1818	303
857	1819	301
858	1820	298
859	1821	296
860	1822	294
861	1823	292
862	1825	289
863	1826	287
864	1827	285
865	1828	283
866	1829	280
867	1830	278
868	1832	276
869	1833	273
870	1834	271
871	1835	269
872	1836	267
873	1837	264
874	1838	262
875	1839	260
876	1840	258
877	1841	255
878	1842	253
879	1843	251
880	1845	249
881	1846	247
882	1847	244
883	1848	242
884	1849	240
885	1850	238
886	1852	235
887	1853	233
888	1854	231
889	1855	229
890	1856	227
891	1858	224
892	1859	222
893	1860	220
894	1861	218
895	1862	216
896	1863	214
897	1865	211
898	1866	209
899	1867	207
900	1868	205
901	1869	203
902	1870	200
903	1871	198
904	1872	196
905	1873	194
906	1875	192
907	1876	190
908	1877	187
909	1878	185
910	1879	183
911	1880	181
912	1881	179
913	1883	177
914	1884	175
915	1885	172
916	1886	170
917	1887	168
918	1888	166
919	1889	164
920	1891	162
921	1892	160
922	1893	157
923	1894	155
924	1895	153
925	1897	151
926	1898	149
927	1899	147
928	1901	145
929	1902	143
930	1903	141
931	1904	138
932	1905	136
933	1906	134
934	1907	132
935	1908	130
936	1910	128
937	1911	126
938	1912	124
939	1913	122
940	1914	120
941	1915	117
942	1916	115
943	1917	113
944	1918	111
945	1920	109
946	1921	107
947	1922	105
948	1923	103
949	1924	101
950	1925	99
951	1926	97
952	1927	95
953	1929	93
954	1930	90
955	1931	88
956	1932	86
957	1933	84
958	1934	82
959	1935	80
960	1937	78
961	1938	76
962	1939	74
963	1940	72
964	1941	70
965	1942	68
966	1944	66
967	1945	64
968	1946	62
969	1947	60
970	1948	58
971	1949	56
972	1950	54
973	1952	52
974	1953	50
975	1954	48
976	1955	46
977	1956	44
978	1957	41
979	1958	39
980	1960	37
981	1961	35
982	1962	33
983	1963	31
984	1965	29
985	1966	27
986	1967	25
987	1968	23
988	1970	21
989	1971	19
990	1973	17
991	1974	15
992	1975	13
993	1977	11
994	1978	9
995	1980	7
996	1981	5
997	1982	3
998	1984	1
999	1985	0
